Word (Auditory),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
blaring,4.500,1.490,0.000,0.000,0.000,0.000,0.000,0.210,0.200,0.290,0.180,0.300,0.890,1.080,1.170,1.150,1.650,2.220,1.880,2.410,3.100,2.930
crying,4.476,44.210,16.900,20.860,15.440,27.210,24.920,32.310,34.730,30.550,32.580,32.330,39.450,44.680,45.840,41.690,39.590,38.290,38.190,52.670,46.030,43.610
groaning,4.476,5.530,4.730,5.250,5.630,6.650,4.900,4.680,4.040,4.650,4.370,3.680,4.440,3.900,3.800,3.520,5.120,4.370,6.000,5.340,4.160,5.730
creaking,4.476,4.200,2.290,2.260,2.970,4.600,4.070,2.610,2.890,3.130,3.780,4.200,3.770,4.580,3.980,3.490,3.570,3.430,3.180,3.560,3.620,3.810
muffled,4.476,9.220,5.010,5.110,6.330,7.620,6.200,7.930,7.570,6.360,8.460,7.570,8.370,8.630,8.580,7.640,8.480,8.640,7.570,8.050,8.760,8.600
soundless,4.429,1.160,0.140,0.290,0.820,0.360,0.650,0.690,0.700,1.130,0.860,1.170,1.090,1.370,1.280,1.260,1.750,0.760,1.070,1.240,1.010,0.540
snarling,4.381,2.790,0.720,0.660,0.760,1.030,2.010,0.960,1.050,1.620,2.680,3.380,4.860,3.650,2.150,2.410,3.060,2.810,2.480,2.200,2.760,2.140
gurgling,4.381,2.070,0.860,1.900,3.350,3.210,2.420,1.600,1.590,1.660,1.370,1.950,1.750,1.410,1.750,1.600,1.440,1.560,1.540,1.720,1.550,1.860
hushed,4.381,8.140,11.600,12.840,13.350,13.550,11.450,10.220,8.770,10.820,6.370,5.840,6.190,6.860,6.090,5.480,5.430,4.470,4.660,4.130,4.510,4.340
crackling,4.286,4.360,3.580,2.120,4.180,4.600,3.480,3.300,3.090,3.080,4.370,4.630,4.980,4.260,3.430,3.490,3.400,2.500,3.520,4.070,4.190,3.440
rumbling,4.238,4.340,2.010,2.840,3.100,3.570,3.070,3.030,2.890,2.940,3.410,3.940,4.050,4.010,4.270,3.210,3.850,2.770,3.280,4.800,4.680,4.710
popping,4.190,4.600,0.430,0.440,0.700,1.270,0.590,1.280,1.000,0.830,1.230,1.990,2.570,4.840,4.050,5.230,4.810,4.510,5.290,6.640,8.850,7.420
tinkling,4.150,2.450,1.290,2.260,2.150,3.510,1.950,1.810,3.440,3.230,2.370,1.770,2.650,2.890,2.120,2.270,2.200,1.110,1.510,1.660,1.670,1.100
warbling,3.938,0.910,2.720,3.350,2.470,2.900,0.770,0.690,0.950,1.130,0.640,0.260,0.310,0.220,0.840,0.310,0.380,0.210,0.600,0.450,0.460,0.480
thumping,3.905,3.410,0.140,1.900,1.460,1.150,1.180,2.020,0.850,1.860,2.820,2.730,5.180,4.190,3.100,2.860,2.950,3.020,2.980,3.200,4.450,3.860
hoarse,3.900,8.320,10.600,9.410,13.920,8.350,9.390,11.230,7.080,10.620,10.560,9.570,9.220,8.450,7.230,5.860,5.010,3.950,5.130,4.310,3.390,3.270
resounding,3.833,2.580,2.010,1.530,2.590,2.180,2.830,2.240,1.990,2.200,2.500,2.420,2.020,2.490,2.630,2.690,2.710,2.570,2.040,1.810,1.460,1.410
crunching,3.714,1.760,0.000,0.220,0.250,0.240,0.650,1.060,0.600,0.880,1.140,0.820,1.320,1.480,0.950,1.470,1.270,1.460,1.540,2.750,3.590,3.190
raspy,3.647,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.220,0.120,0.070,0.040,0.140,0.450,0.760,0.900,1.270,2.350,2.280
harsh,3.333,20.740,17.900,20.490,19.610,19.840,19.600,19.270,13.850,16.550,14.330,15.450,14.440,16.200,15.620,15.040,18.370,18.420,21.370,18.490,22.140,17.060
reverberating,3.308,0.950,0.290,1.240,0.950,1.210,1.420,0.850,0.650,0.830,0.770,0.690,1.090,0.430,0.770,0.800,0.790,1.080,0.330,0.540,0.830,0.870
