Word (Visual),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
crashing,4.619,7.990,0.570,2.770,3.990,3.270,4.720,3.410,2.990,4.800,5.370,6.320,9.180,8.950,5.990,5.790,8.170,7.420,7.440,8.900,10.280,10.460
crowded,4.619,40.500,31.800,39.160,41.250,41.910,36.840,39.920,35.480,42.350,42.680,38.780,37.980,37.970,40.910,36.150,29.770,34.580,28.370,26.820,26.620,22.590
beautiful,4.619,206.470,226.600,254.020,312.140,303.460,218.880,238.660,212.540,221.960,201.480,170.410,151.590,141.220,138.610,131.820,147.170,144.230,138.690,153.400,153.780,136.490
crinkled,4.619,1.080,0.000,0.150,0.000,0.120,0.060,0.270,0.200,0.150,0.270,0.690,1.280,1.150,1.200,1.470,1.100,0.870,1.110,1.690,1.460,1.750
tiny,4.619,63.890,3.150,6.270,7.530,13.730,14.470,16.290,20.830,34.420,45.180,48.820,49.420,50.060,54.890,53.660,62.870,59.730,73.060,95.960,103.210,96.470
clean,4.619,83.220,15.610,28.520,27.460,31.200,37.790,38.750,45.350,43.620,61.790,73.370,69.690,77.520,78.070,78.920,77.600,92.540,82.040,102.810,100.310,96.270
blotchy,4.619,0.300,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.090,0.040,0.040,0.140,0.150,0.100,0.210,0.450,0.370,0.570,0.690,0.900
fat,4.619,68.240,19.190,27.640,28.150,24.920,39.320,26.130,44.350,23.060,37.950,51.160,46.260,58.500,67.410,59.560,65.000,67.080,61.070,92.640,106.340,83.070
triangular,4.619,2.980,3.440,2.260,2.530,2.120,2.070,2.080,2.090,3.280,2.410,1.950,2.220,2.450,2.920,1.990,2.710,3.160,2.980,2.780,2.380,2.790
grassy,4.619,5.520,5.300,4.520,7.470,7.440,6.140,5.850,7.030,8.710,5.920,5.580,3.190,2.670,3.430,2.580,5.150,2.710,3.280,5.310,3.960,3.920
orange,4.619,32.930,6.450,11.300,19.300,19.780,16.530,15.650,11.410,15.710,14.920,14.720,17.390,25.120,22.040,22.890,30.970,32.570,34.470,49.930,50.140,57.460
oval,4.619,8.440,2.010,4.890,8.030,4.960,7.380,9.050,4.580,5.480,4.870,3.550,5.290,5.920,6.310,5.020,5.840,8.880,10.690,9.990,10.860,10.380
bent,4.619,57.880,39.100,45.510,59.470,58.720,61.050,61.050,54.070,63.350,70.620,63.970,53.380,50.200,53.290,41.590,41.510,38.680,38.360,46.060,41.670,33.340
alive,4.571,82.980,63.020,47.700,48.840,45.360,48.650,53.120,53.570,52.430,57.650,59.000,61.750,65.400,76.570,80.770,78.390,83.460,95.040,87.540,86.760,88.340
swift,4.571,29.480,19.480,20.640,25.370,23.580,25.860,24.910,38.270,43.330,48.320,46.360,37.120,32.520,29.820,18.910,14.900,14.710,14.970,10.080,14.470,19.150
motionless,4.571,15.200,23.630,16.260,26.440,13.000,17.480,21.180,13.800,16.790,19.250,18.570,16.030,15.120,14.820,10.010,8.170,8.190,7.810,7.840,7.290,6.320
uneven,4.571,5.190,2.720,3.500,3.100,4.170,2.240,2.660,2.690,3.670,3.780,3.550,4.200,5.090,4.820,4.810,3.950,5.060,5.390,4.740,5.200,7.190
sparkly,4.571,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.040,0.040,0.070,0.040,0.000,0.100,0.140,0.170,0.690,1.230,1.780
gleaming,4.571,12.540,5.300,9.410,15.180,9.130,10.750,10.430,10.320,11.650,12.510,10.220,8.750,11.330,11.280,10.710,9.440,10.230,10.790,11.400,11.890,9.870
glowing,4.571,20.160,26.930,27.860,35.300,29.210,21.140,21.770,23.520,18.990,18.970,19.480,18.130,12.740,11.020,10.430,10.640,9.890,13.230,15.660,16.000,16.130
miniature,4.571,10.430,10.740,8.020,7.840,7.200,7.500,11.280,6.880,6.610,9.650,6.020,8.480,8.630,7.850,7.950,9.440,9.260,8.040,11.010,10.510,11.900
white,4.571,458.010,188.500,221.130,328.520,307.630,327.690,340.900,345.890,354.580,397.910,375.270,412.250,405.590,382.270,385.500,455.450,455.790,445.840,462.720,425.370,397.540
black,4.571,340.760,119.460,179.630,246.850,183.240,223.360,207.840,201.070,199.690,242.110,262.650,248.830,266.350,261.430,236.630,304.300,362.510,351.540,433.730,432.290,384.480
silver,4.571,87.230,49.270,115.670,96.670,95.430,100.670,80.530,69.820,131.450,86.000,63.760,77.940,95.140,66.720,59.700,47.900,51.300,58.790,70.500,65.880,61.660
sheer,4.526,18.410,1.860,5.830,6.770,8.530,8.680,10.750,11.110,13.020,18.700,20.690,23.460,18.550,18.070,18.390,16.140,18.380,17.190,16.710,19.150,14.530
metal,4.524,50.320,10.170,18.090,12.530,19.650,21.080,12.030,15.550,22.030,26.800,29.650,44.080,56.340,43.470,57.780,48.900,46.450,54.470,60.390,71.970,70.010
